report_id,total_ekuitas
1,226038617
2,235920188
3,240762705
4,251031834
5,249188676
6,258048392
7,262498008
8,242984200
9,247841954
10,257754691
11,262450855
12,271782303
13,147458358
14,149013636
15,141257703
16,143645390
17,147793387
18,150405638
19,153998170
20,155484716
21,160153516
22,162349236
23,152457690
24,154222709
25,158372667
26,160646335
27,31673562
28,34408627
29,30429938
30,32958030
31,30877051
32,32963466
33,30485499
34,32777177
35,31218623
36,34058426
37,30708589
38,33190443
39,31996789
40,31840680
